Date,pre,actual,predicted
10/02/2014,77.059998,0,0
07/02/2014,75.669998,0,0
06/02/2014,75.559998,0,0
05/02/2014,71.760002,0,0
04/02/2014,71.050003,0,0
03/02/2014,69.989998,0,0
31/01/2014,72.610001,0,0
30/01/2014,73.220001,0,0
29/01/2014,71.330002,0,0
28/01/2014,72.879997,0,0
27/01/2014,72.25,0,0
24/01/2014,72.720001,0,0
23/01/2014,74.790001,0,0
22/01/2014,75.309998,0,0
21/01/2014,74.199997,0,0
17/01/2014,73.980003,0,0
16/01/2014,74.209999,0,0
15/01/2014,74.279999,0,0
14/01/2014,74.449997,0,0
13/01/2014,73.269997,0,0
10/01/2014,75.389999,0,0
09/01/2014,74.900002,0,0
08/01/2014,75.220001,0,0
07/01/2014,76.339996,0,0
06/01/2014,75.82,0,0
03/01/2014,76.110001,0,0
02/01/2014,76.269997,0,0
31/12/2013,76.400002,0,0
30/12/2013,76.230003,0,0
27/12/2013,74.349998,0,0
26/12/2013,74.620003,0,0
24/12/2013,73.849998,0,0
23/12/2013,73.279999,0,0
20/12/2013,72.400002,0,0
19/12/2013,72.970001,0,0
18/12/2013,72.199997,0,0
17/12/2013,70.660004,0,0
16/12/2013,70.510002,0,0
13/12/2013,69.620003,0,0
12/12/2013,69.629997,0,0
11/12/2013,70.519997,0,0
10/12/2013,71.57,0,0
09/12/2013,71.110001,0,0
06/12/2013,71.459999,0,0
05/12/2013,70.230003,0,0
04/12/2013,69.970001,0,0
03/12/2013,69.900002,0,0
02/12/2013,70.910004,0,0
29/11/2013,70.540001,0,0
27/11/2013,70.769997,0,0
26/11/2013,71.18,0,0
25/11/2013,69.739998,0,0
22/11/2013,70.199997,0,0
21/11/2013,69.940002,0,0
20/11/2013,69.230003,0,0
19/11/2013,69.120003,0,0
18/11/2013,69.5,0,0
15/11/2013,70,0,0
14/11/2013,70.019997,0,0
13/11/2013,68.970001,0,0
12/11/2013,67.769997,0,0
11/11/2013,68.339996,0,0
08/11/2013,68.580002,0,0
07/11/2013,67.150002,0,0
06/11/2013,69,0,0
05/11/2013,68.849998,0,0
04/11/2013,68.809998,0,0
01/11/2013,69.010002,0,0
31/10/2013,68.589996,0,0
30/10/2013,68.470001,0,0
29/10/2013,68.919998,0,0
28/10/2013,69,0,0
25/10/2013,69.260002,0,0
24/10/2013,69.050003,0,0
23/10/2013,68.120003,0,0
22/10/2013,69,0,0
21/10/2013,67.610001,0,0
18/10/2013,67.150002,0,0
17/10/2013,66.419998,0,0
16/10/2013,66.349998,0,0
15/10/2013,66.440002,0,0
14/10/2013,66.830002,0,0
11/10/2013,66.209999,0,0
10/10/2013,65.580002,0,0
09/10/2013,63.59,0,0
08/10/2013,64,0,0
07/10/2013,64.589996,0,0
04/10/2013,65.300003,0,0
03/10/2013,64.019997,0,0
02/10/2013,64.879997,0,0
01/10/2013,64.830002,0,0
30/09/2013,64.489998,0,0
27/09/2013,65.190002,0,0
26/09/2013,65.239998,0,0
25/09/2013,64.449997,0,0
24/09/2013,64.32,0,0
23/09/2013,64.75,0,0
20/09/2013,65.010002,0,0
19/09/2013,65.720001,0,0
18/09/2013,67.110001,0,0
17/09/2013,66.980003,0,0
16/09/2013,66.940002,0,0
13/09/2013,66.690002,0,0
12/09/2013,65.489998,0,0
11/09/2013,63.939999,0,0
10/09/2013,62.830002,0,0
09/09/2013,61.59,0,0
06/09/2013,61.389999,0,0
05/09/2013,61.299999,0,0
04/09/2013,61.110001,0,0
03/09/2013,60.93,0,0
30/08/2013,60.830002,0,0
29/08/2013,61.080002,0,0
28/08/2013,60.810001,0,0
27/08/2013,60.689999,0,0
26/08/2013,61.349998,0,0
23/08/2013,61.73,0,0
22/08/2013,61.639999,0,0
21/08/2013,61.139999,0,0
20/08/2013,61.880001,0,0
19/08/2013,61.830002,0,0
16/08/2013,62.169998,0,0
15/08/2013,62.380001,0,0
14/08/2013,63.959999,0,0
13/08/2013,63.98,0,0
12/08/2013,63.93,0,0
09/08/2013,64.730003,0,0
08/08/2013,65.75,0,0
07/08/2013,65.910004,0,0
06/08/2013,67.050003,0,0
05/08/2013,66.019997,0,0
02/08/2013,66.510002,0,0
01/08/2013,65.360001,0,0
31/07/2013,64.650002,0,0
30/07/2013,64.18,0,0
29/07/2013,64.610001,0,0
26/07/2013,64.980003,0,0
25/07/2013,64.550003,0,0
24/07/2013,64.639999,0,0
23/07/2013,64.449997,0,0
22/07/2013,64.400002,0,0
19/07/2013,65.160004,0,0
18/07/2013,65.82,0,0
17/07/2013,65.360001,0,0
16/07/2013,65.029999,0,0
15/07/2013,65.93,0,0
12/07/2013,66.980003,0,0
11/07/2013,66.580002,0,0
10/07/2013,64.910004,0,0
09/07/2013,64.940002,0,0
08/07/2013,64.709999,0,0
05/07/2013,63.82,0,0
03/07/2013,63.610001,0,0
02/07/2013,63.259998,0,0
01/07/2013,63.93,0,0
28/06/2013,63.150002,0,0
27/06/2013,63.720001,0,0
26/06/2013,63.209999,0,0
25/06/2013,62.57,0,0
24/06/2013,62.439999,0,0
21/06/2013,62.73,0,0
20/06/2013,61.98,0,0
19/06/2013,64.330002,0,0
18/06/2013,65.290001,0,0
17/06/2013,64.489998,0,0
14/06/2013,63.799999,0,0
13/06/2013,64.300003,0,0
12/06/2013,62.990002,0,0
11/06/2013,63.799999,0,0
10/06/2013,63.830002,0,0
07/06/2013,64.849998,0,0
06/06/2013,63.139999,0,0
05/06/2013,63.119999,0,0
04/06/2013,64.349998,0,0
03/06/2013,63.799999,0,0
31/05/2013,63.080002,0,0
30/05/2013,64.650002,0,0
29/05/2013,66.260002,0,0
28/05/2013,66.690002,0,0
24/05/2013,65.489998,0,0
23/05/2013,65.230003,0,0
22/05/2013,65.57,0,0
21/05/2013,65.830002,0,0
20/05/2013,66.120003,0,0
17/05/2013,66.580002,0,0
16/05/2013,66.470001,0,0
15/05/2013,67.669998,0,0
